""	"clade"	"test"	"back"	"pval"	"kval"	"adjusted_p_value"
"217"	"Aves_group4"	"Ficedula_albicollis"	"`Melopsittacus_undulatus,Strigops_habroptila,Hirundo_rustica,Parus_major,Cyanistes_caeruleus,Node8,Pseudopodoces_humilis,Node7,Node5,Sturnus_vulgaris,Catharus_ustulatus,Node15,Node13,Corvus_moneduloides,Corvus_kubaryi,Node21,Corvus_cornix_cornix,Corvus_brachyrhynchos,Node24,Node20,Taeniopygia_guttata,Lonchura_striata_domestica,Node30,Vidua_chalybeata,Vidua_macroura,Node33,Node29,Corvus_hawaiiensis,Node28,Geospiza_fortis,Camarhynchus_parvulus,Node37,Node27,Node19,Motacilla_alba_alba,Zonotrichia_albicollis,Melozone_crissalis,Node45,Molothrus_ater,Agelaius_phoeniceus,Node48,Node44,Serinus_canaria,Node43,Node41,Pyrgilauda_ruficollis,Onychostruthus_taczanowskii,Node53,Passer_montanus,Node52,Node40,Node18,Node12,Node4,Empidonax_traillii,Neopelma_chrysocephalum,Pipra_filicauda,Manacus_vitellinus,Manacus_candei,Node64,Node62,Lepidothrix_coronata,Node61,Node59,Node57,Node3`"	1	1.08	1
"218"	"Aves_group4"	"Geospiza_fortis"	"`Melopsittacus_undulatus,Strigops_habroptila,Hirundo_rustica,Parus_major,Cyanistes_caeruleus,Node8,Pseudopodoces_humilis,Node7,Node5,Sturnus_vulgaris,Catharus_ustulatus,Ficedula_albicollis,Node15,Node13,Corvus_moneduloides,Corvus_kubaryi,Node21,Corvus_cornix_cornix,Corvus_brachyrhynchos,Node24,Node20,Taeniopygia_guttata,Lonchura_striata_domestica,Node30,Vidua_chalybeata,Vidua_macroura,Node33,Node29,Corvus_hawaiiensis,Node28,Camarhynchus_parvulus,Node37,Node27,Node19,Motacilla_alba_alba,Zonotrichia_albicollis,Melozone_crissalis,Node45,Molothrus_ater,Agelaius_phoeniceus,Node48,Node44,Serinus_canaria,Node43,Node41,Pyrgilauda_ruficollis,Onychostruthus_taczanowskii,Node53,Passer_montanus,Node52,Node40,Node18,Node12,Node4,Empidonax_traillii,Neopelma_chrysocephalum,Pipra_filicauda,Manacus_vitellinus,Manacus_candei,Node64,Node62,Lepidothrix_coronata,Node61,Node59,Node57,Node3`"	0.7415	0.79	1
"219"	"Aves_group4"	"Hirundo_rustica"	"`Melopsittacus_undulatus,Strigops_habroptila,Parus_major,Cyanistes_caeruleus,Node8,Pseudopodoces_humilis,Node7,Node5,Sturnus_vulgaris,Catharus_ustulatus,Ficedula_albicollis,Node15,Node13,Corvus_moneduloides,Corvus_kubaryi,Node21,Corvus_cornix_cornix,Corvus_brachyrhynchos,Node24,Node20,Taeniopygia_guttata,Lonchura_striata_domestica,Node30,Vidua_chalybeata,Vidua_macroura,Node33,Node29,Corvus_hawaiiensis,Node28,Geospiza_fortis,Camarhynchus_parvulus,Node37,Node27,Node19,Motacilla_alba_alba,Zonotrichia_albicollis,Melozone_crissalis,Node45,Molothrus_ater,Agelaius_phoeniceus,Node48,Node44,Serinus_canaria,Node43,Node41,Pyrgilauda_ruficollis,Onychostruthus_taczanowskii,Node53,Passer_montanus,Node52,Node40,Node18,Node12,Node4,Empidonax_traillii,Neopelma_chrysocephalum,Pipra_filicauda,Manacus_vitellinus,Manacus_candei,Node64,Node62,Lepidothrix_coronata,Node61,Node59,Node57,Node3`"	0.6721	0.85	1
"220"	"Aves_group4"	"Lepidothrix_coronata"	"`Melopsittacus_undulatus,Strigops_habroptila,Hirundo_rustica,Parus_major,Cyanistes_caeruleus,Node8,Pseudopodoces_humilis,Node7,Node5,Sturnus_vulgaris,Catharus_ustulatus,Ficedula_albicollis,Node15,Node13,Corvus_moneduloides,Corvus_kubaryi,Node21,Corvus_cornix_cornix,Corvus_brachyrhynchos,Node24,Node20,Taeniopygia_guttata,Lonchura_striata_domestica,Node30,Vidua_chalybeata,Vidua_macroura,Node33,Node29,Corvus_hawaiiensis,Node28,Geospiza_fortis,Camarhynchus_parvulus,Node37,Node27,Node19,Motacilla_alba_alba,Zonotrichia_albicollis,Melozone_crissalis,Node45,Molothrus_ater,Agelaius_phoeniceus,Node48,Node44,Serinus_canaria,Node43,Node41,Pyrgilauda_ruficollis,Onychostruthus_taczanowskii,Node53,Passer_montanus,Node52,Node40,Node18,Node12,Node4,Empidonax_traillii,Neopelma_chrysocephalum,Pipra_filicauda,Manacus_vitellinus,Manacus_candei,Node64,Node62,Node61,Node59,Node57,Node3`"	0.3363	0.49	1
"221"	"Aves_group4"	"Lonchura_striata_domestica"	"`Melopsittacus_undulatus,Strigops_habroptila,Hirundo_rustica,Parus_major,Cyanistes_caeruleus,Node8,Pseudopodoces_humilis,Node7,Node5,Sturnus_vulgaris,Catharus_ustulatus,Ficedula_albicollis,Node15,Node13,Corvus_moneduloides,Corvus_kubaryi,Node21,Corvus_cornix_cornix,Corvus_brachyrhynchos,Node24,Node20,Taeniopygia_guttata,Node30,Vidua_chalybeata,Vidua_macroura,Node33,Node29,Corvus_hawaiiensis,Node28,Geospiza_fortis,Camarhynchus_parvulus,Node37,Node27,Node19,Motacilla_alba_alba,Zonotrichia_albicollis,Melozone_crissalis,Node45,Molothrus_ater,Agelaius_phoeniceus,Node48,Node44,Serinus_canaria,Node43,Node41,Pyrgilauda_ruficollis,Onychostruthus_taczanowskii,Node53,Passer_montanus,Node52,Node40,Node18,Node12,Node4,Empidonax_traillii,Neopelma_chrysocephalum,Pipra_filicauda,Manacus_vitellinus,Manacus_candei,Node64,Node62,Lepidothrix_coronata,Node61,Node59,Node57,Node3`"	0.2201	1.57	0.874222222222222
"222"	"Aves_group4"	"Manacus_candei"	"`Melopsittacus_undulatus,Strigops_habroptila,Hirundo_rustica,Parus_major,Cyanistes_caeruleus,Node8,Pseudopodoces_humilis,Node7,Node5,Sturnus_vulgaris,Catharus_ustulatus,Ficedula_albicollis,Node15,Node13,Corvus_moneduloides,Corvus_kubaryi,Node21,Corvus_cornix_cornix,Corvus_brachyrhynchos,Node24,Node20,Taeniopygia_guttata,Lonchura_striata_domestica,Node30,Vidua_chalybeata,Vidua_macroura,Node33,Node29,Corvus_hawaiiensis,Node28,Geospiza_fortis,Camarhynchus_parvulus,Node37,Node27,Node19,Motacilla_alba_alba,Zonotrichia_albicollis,Melozone_crissalis,Node45,Molothrus_ater,Agelaius_phoeniceus,Node48,Node44,Serinus_canaria,Node43,Node41,Pyrgilauda_ruficollis,Onychostruthus_taczanowskii,Node53,Passer_montanus,Node52,Node40,Node18,Node12,Node4,Empidonax_traillii,Neopelma_chrysocephalum,Pipra_filicauda,Manacus_vitellinus,Node64,Node62,Lepidothrix_coronata,Node61,Node59,Node57,Node3`"	1	0.96	1
"223"	"Aves_group4"	"Manacus_vitellinus"	"`Melopsittacus_undulatus,Strigops_habroptila,Hirundo_rustica,Parus_major,Cyanistes_caeruleus,Node8,Pseudopodoces_humilis,Node7,Node5,Sturnus_vulgaris,Catharus_ustulatus,Ficedula_albicollis,Node15,Node13,Corvus_moneduloides,Corvus_kubaryi,Node21,Corvus_cornix_cornix,Corvus_brachyrhynchos,Node24,Node20,Taeniopygia_guttata,Lonchura_striata_domestica,Node30,Vidua_chalybeata,Vidua_macroura,Node33,Node29,Corvus_hawaiiensis,Node28,Geospiza_fortis,Camarhynchus_parvulus,Node37,Node27,Node19,Motacilla_alba_alba,Zonotrichia_albicollis,Melozone_crissalis,Node45,Molothrus_ater,Agelaius_phoeniceus,Node48,Node44,Serinus_canaria,Node43,Node41,Pyrgilauda_ruficollis,Onychostruthus_taczanowskii,Node53,Passer_montanus,Node52,Node40,Node18,Node12,Node4,Empidonax_traillii,Neopelma_chrysocephalum,Pipra_filicauda,Manacus_candei,Node64,Node62,Lepidothrix_coronata,Node61,Node59,Node57,Node3`"	1	0.65	1
"224"	"Aves_group4"	"Melopsittacus_undulatus"	"`Strigops_habroptila,Hirundo_rustica,Parus_major,Cyanistes_caeruleus,Node8,Pseudopodoces_humilis,Node7,Node5,Sturnus_vulgaris,Catharus_ustulatus,Ficedula_albicollis,Node15,Node13,Corvus_moneduloides,Corvus_kubaryi,Node21,Corvus_cornix_cornix,Corvus_brachyrhynchos,Node24,Node20,Taeniopygia_guttata,Lonchura_striata_domestica,Node30,Vidua_chalybeata,Vidua_macroura,Node33,Node29,Corvus_hawaiiensis,Node28,Geospiza_fortis,Camarhynchus_parvulus,Node37,Node27,Node19,Motacilla_alba_alba,Zonotrichia_albicollis,Melozone_crissalis,Node45,Molothrus_ater,Agelaius_phoeniceus,Node48,Node44,Serinus_canaria,Node43,Node41,Pyrgilauda_ruficollis,Onychostruthus_taczanowskii,Node53,Passer_montanus,Node52,Node40,Node18,Node12,Node4,Empidonax_traillii,Neopelma_chrysocephalum,Pipra_filicauda,Manacus_vitellinus,Manacus_candei,Node64,Node62,Lepidothrix_coronata,Node61,Node59,Node57,Node3`"	0.8822	1.02	1
"225"	"Aves_group4"	"Melozone_crissalis"	"`Melopsittacus_undulatus,Strigops_habroptila,Hirundo_rustica,Parus_major,Cyanistes_caeruleus,Node8,Pseudopodoces_humilis,Node7,Node5,Sturnus_vulgaris,Catharus_ustulatus,Ficedula_albicollis,Node15,Node13,Corvus_moneduloides,Corvus_kubaryi,Node21,Corvus_cornix_cornix,Corvus_brachyrhynchos,Node24,Node20,Taeniopygia_guttata,Lonchura_striata_domestica,Node30,Vidua_chalybeata,Vidua_macroura,Node33,Node29,Corvus_hawaiiensis,Node28,Geospiza_fortis,Camarhynchus_parvulus,Node37,Node27,Node19,Motacilla_alba_alba,Zonotrichia_albicollis,Node45,Molothrus_ater,Agelaius_phoeniceus,Node48,Node44,Serinus_canaria,Node43,Node41,Pyrgilauda_ruficollis,Onychostruthus_taczanowskii,Node53,Passer_montanus,Node52,Node40,Node18,Node12,Node4,Empidonax_traillii,Neopelma_chrysocephalum,Pipra_filicauda,Manacus_vitellinus,Manacus_candei,Node64,Node62,Lepidothrix_coronata,Node61,Node59,Node57,Node3`"	0.5016	1.27	1
"226"	"Aves_group4"	"Molothrus_ater"	"`Melopsittacus_undulatus,Strigops_habroptila,Hirundo_rustica,Parus_major,Cyanistes_caeruleus,Node8,Pseudopodoces_humilis,Node7,Node5,Sturnus_vulgaris,Catharus_ustulatus,Ficedula_albicollis,Node15,Node13,Corvus_moneduloides,Corvus_kubaryi,Node21,Corvus_cornix_cornix,Corvus_brachyrhynchos,Node24,Node20,Taeniopygia_guttata,Lonchura_striata_domestica,Node30,Vidua_chalybeata,Vidua_macroura,Node33,Node29,Corvus_hawaiiensis,Node28,Geospiza_fortis,Camarhynchus_parvulus,Node37,Node27,Node19,Motacilla_alba_alba,Zonotrichia_albicollis,Melozone_crissalis,Node45,Agelaius_phoeniceus,Node48,Node44,Serinus_canaria,Node43,Node41,Pyrgilauda_ruficollis,Onychostruthus_taczanowskii,Node53,Passer_montanus,Node52,Node40,Node18,Node12,Node4,Empidonax_traillii,Neopelma_chrysocephalum,Pipra_filicauda,Manacus_vitellinus,Manacus_candei,Node64,Node62,Lepidothrix_coronata,Node61,Node59,Node57,Node3`"	0.4673	1.57	1
